Year,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2020,2021,CA,California,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,21.4,21.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,12.2,34.7,Race/Ethnicity,"Asian, non-Hispanic",6,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,CT,Connecticut,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,27.8,27.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,13.9,48.0,Race/Ethnicity,"Asian, non-Hispanic",9,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,CT,Connecticut,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.6,26.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,13.8,45.2,Race/Ethnicity,"Black, non-Hispanic",9,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,AK,Alaska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,20.9,20.9,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,10.3,37.8,Race/Ethnicity,"Asian, non-Hispanic",2,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,HI,Hawaii,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,29.0,29.0,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,19.3,41.0,Race/Ethnicity,"White, non-Hispanic",15,NPAW,NPW07,CRDPREV,RACE,WHT
2020,2021,GA,Georgia,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,21.1,21.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,10.1,39.0,Race/Ethnicity,"Asian, non-Hispanic",13,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,DC,District of Columbia,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,23.0,23.0,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,9.6,45.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",11,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,IL,Illinois,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,23.6,23.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,10.4,45.1,Race/Ethnicity,"Asian, non-Hispanic",17,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,ID,Idaho,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,32.6,32.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,19.7,48.7,Race/Ethnicity,"Black, non-Hispanic",16,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,IN,Indiana,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,21.8,21.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,10.4,40.3,Race/Ethnicity,Hispanic,18,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,KS,Kansas,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,27.8,27.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,17.7,40.8,Race/Ethnicity,Hispanic,20,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,IL,Illinois,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,25.1,25.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,15.4,38.2,Race/Ethnicity,Hispanic,17,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,GA,Georgia,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.5,26.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.1,51.0,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",13,NPAW,NPW07,CRDPREV,RACE,HAPI
2020,2021,DE,Delaware,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,22.5,22.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.3,39.9,Race/Ethnicity,Hispanic,10,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,FL,Florida,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.3,26.3,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.3,49.9,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",12,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,HI,Hawaii,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,42.1,42.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,24.5,62.0,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",15,NPAW,NPW07,CRDPREV,RACE,HAPI
2020,2021,KS,Kansas,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,34.3,34.3,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,17.5,56.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",20,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,DC,District of Columbia,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,14.5,14.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,5.2,34.3,Race/Ethnicity,Hispanic,11,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,GA,Georgia,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,20.6,20.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.0,35.2,Race/Ethnicity,Hispanic,13,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,DE,Delaware,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,18.0,18.0,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,8.9,33.1,Race/Ethnicity,"Multiracial, non-Hispanic",10,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,IN,Indiana,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,16.6,16.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,7.1,34.0,Race/Ethnicity,"Black, non-Hispanic",18,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,IA,Iowa,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.2,26.2,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,10.7,51.3,Race/Ethnicity,Hispanic,19,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,IL,Illinois,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.9,26.9,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,15.0,43.4,Race/Ethnicity,"Black, non-Hispanic",17,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,DE,Delaware,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.2,26.2,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,15.4,41.0,Race/Ethnicity,"Asian, non-Hispanic",10,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,MN,Minnesota,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,16.3,16.3,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,6.7,34.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",27,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,MI,Michigan,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.4,26.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,12.6,47.4,Race/Ethnicity,Hispanic,26,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,NE,Nebraska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,38.8,38.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,23.7,56.4,Race/Ethnicity,"Multiracial, non-Hispanic",31,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,MS,Mississippi,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.1,26.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.8,48.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",28,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,MO,Missouri,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,39.4,39.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,23.3,58.2,Race/Ethnicity,Hispanic,29,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,MD,Maryland,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,23.8,23.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,12.5,40.6,Race/Ethnicity,"Asian, non-Hispanic",24,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,MS,Mississippi,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,10.8,10.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,3.7,27.5,Race/Ethnicity,Hispanic,28,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,MA,Massachusetts,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,14.4,14.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,6.2,30.0,Race/Ethnicity,Hispanic,25,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,ME,Maine,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,25.9,25.9,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.6,48.0,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",23,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,NE,Nebraska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,17.2,17.2,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,6.9,36.8,Race/Ethnicity,"Asian, non-Hispanic",31,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,MD,Maryland,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,16.1,16.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,7.9,30.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",24,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,MN,Minnesota,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,20.7,20.7,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,10.5,36.9,Race/Ethnicity,"Asian, non-Hispanic",27,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,MA,Massachusetts,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,21.0,21.0,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,8.4,43.8,Race/Ethnicity,"Black, non-Hispanic",25,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,MD,Maryland,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,18.6,18.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,8.1,37.1,Race/Ethnicity,Hispanic,24,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,MI,Michigan,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,31.3,31.3,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,14.9,54.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",26,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,MI,Michigan,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,30.3,30.3,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,17.0,48.1,Race/Ethnicity,"Black, non-Hispanic",26,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,MT,Montana,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,27.2,27.2,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.0,53.1,Race/Ethnicity,Hispanic,30,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,NE,Nebraska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,15.1,15.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,6.9,29.6,Race/Ethnicity,Hispanic,31,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,MO,Missouri,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,23.5,23.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.5,42.2,Race/Ethnicity,"Black, non-Hispanic",29,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,LA,Louisiana,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,17.1,17.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,6.8,36.8,Race/Ethnicity,Hispanic,22,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,LA,Louisiana,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,19.4,19.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,7.9,40.3,Race/Ethnicity,"Multiracial, non-Hispanic",22,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,KY,Kentucky,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,25.5,25.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,10.6,49.7,Race/Ethnicity,Hispanic,21,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,MI,Michigan,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,18.4,18.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,9.0,33.8,Race/Ethnicity,"Asian, non-Hispanic",26,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,MO,Missouri,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,36.5,36.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,19.6,57.5,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",29,NPAW,NPW07,CRDPREV,RACE,HAPI
2020,2021,MA,Massachusetts,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,15.2,15.2,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,7.1,29.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",25,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,KY,Kentucky,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,28.4,28.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,14.1,49.0,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",21,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,MT,Montana,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,33.1,33.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,17.4,53.7,Race/Ethnicity,"Multiracial, non-Hispanic",30,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,NY,New York,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,32.4,32.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,17.1,52.6,Race/Ethnicity,"Multiracial, non-Hispanic",36,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,OH,Ohio,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,34.4,34.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,18.5,54.6,Race/Ethnicity,"Asian, non-Hispanic",39,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,OR,Oregon,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,32.1,32.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,14.1,57.7,Race/Ethnicity,"Black, non-Hispanic",41,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,NH,New Hampshire,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,37.9,37.9,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,17.6,63.6,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",33,NPAW,NPW07,CRDPREV,RACE,HAPI
2020,2021,OK,Oklahoma,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,28.6,28.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,16.7,44.6,Race/Ethnicity,Hispanic,40,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,NJ,New Jersey,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,12.4,12.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,3.9,32.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",34,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,NY,New York,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,15.0,15.0,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,7.0,29.3,Race/Ethnicity,"Black, non-Hispanic",36,NPAW,NPW07,CRDPREV,RACE,BLK
